id,num_children,distinct_children,distinct_parents,num_parents,is_sample,is_root
0,11.0,[ 42  47  61  77 124 140 193 214 360 364 516],[-1],1.0,0,0.0
1,93.0,"[ 20  21  23  24  27  28  29  34  38  40  41  43  47  52  53  54  55  57
  58  59  60  62  68  69  72  73  75  80  84  85  86  89  91  98 100 102
 103 104 106 108 109 110 113 115 137 152 154 155 159 172 181 182 203 205
 210 212 217 219 220 238 240 255 263 265 266 272 278 285 287 291 293 305
 313 317 330 350 353 356 358 363 368 374 375 412 413 448 453 470 491 499
 521 612 657]",[-1],1.0,0,0.0
2,4.0,[324 333 360 448],[-1],1.0,0,0.0
3,22.0,"[ 18  94  99 109 117 173 178 197 199 251 280 285 288 289 294 310 371 383
 386 423 448 479]",[-1],1.0,0,0.0
4,42.0,"[ 15  22  27  32  36  47  48  62  68  90  92  96  97 100 103 179 204 210
 213 216 220 240 251 255 265 280 288 291 305 313 344 360 375 395 416 418
 422 424 435 453 505 521]",[-1],1.0,0,0.0
5,81.0,"[ 17  26  34  43  46  51  58  59  70  78  79  81  82  83  87  93  94  95
 104 105 107 108 110 111 112 122 136 137 148 156 157 158 195 199 201 204
 205 214 216 220 229 234 237 238 244 254 259 260 282 283 293 300 301 305
 317 321 333 341 351 368 375 378 424 434 439 444 448 473 483 491 493 516
 531 532 540 542 553 598 618 662 667]",[-1],1.0,0,0.0
6,14.0,[ 17  96  97 103 117 130 256 260 275 296 300 360 414 491],[-1],1.0,0,0.0
7,2.0,[251 280],[-1],1.0,0,0.0
8,31.0,"[ 18  22  31  33  54  61  64  68  70  71  99 100 121 228 236 259 292 301
 324 344 348 360 370 439 447 504 505 515 521 598 618]",[-1],1.0,0,0.0
9,7.0,[ 68 132 157 160 223 291 322],[-1],1.0,0,0.0
10,3.0,[ 56 114 507],[-1],1.0,0,0.0
11,5.0,[162 173 191 199 444],[-1],1.0,0,0.0
12,47.0,"[ 24  30  35  45  49  65  67  70  74  76  92 101 113 114 135 147 163 173
 192 211 219 222 227 247 248 249 252 260 268 290 326 347 362 364 371 378
 380 381 385 423 472 486 494 502 532 557 612]",[-1],1.0,0,0.0
13,57.0,"[ 16  25  37  39  44  63  66  70  88  94  95 106 112 113 116 125 126 134
 135 138 143 163 164 166 167 168 176 180 183 191 193 201 219 242 248 252
 257 262 264 302 304 317 329 343 358 359 361 362 365 371 376 378 419 499
 507 615 657]",[-1],1.0,0,1.0
14,13.0,[ 19  50 139 223 225 277 286 317 321 444 448 473 531],[-1],1.0,0,0.0
15,4.0,[216 226 360 414],[-1  4],2.0,0,0.0
16,16.0,[134 163 177 201 219 221 262 358 364 367 378 480 507 532 548 657],[-1 13],2.0,0,0.0
17,7.0,[173 195 202 207 256 260 448],[-1  5  6],3.0,0,0.0
18,7.0,[188 191 259 285 294 322 348],[-1  3  8],3.0,0,0.0
19,5.0,[229 286 317 443 444],[-1 14],2.0,0,0.0
20,5.0,[149 307 362 373 639],[-1  1],2.0,0,0.0
21,5.0,[250 255 266 350 521],[-1  1],2.0,0,0.0
22,10.0,[265 267 288 305 395 412 505 510 521 553],[-1  4  8],3.0,0,0.0
23,23.0,"[151 153 159 170 171 175 184 224 230 231 237 251 261 280 288 291 293 299
 305 313 331 363 592]",[-1  1],2.0,0,0.0
24,9.0,[182 212 248 307 373 374 386 479 499],[-1  1 12],3.0,0,0.0
25,4.0,[371 376 378 380],[-1 13],2.0,0,0.0
26,2.0,[448 483],[-1  5],2.0,0,0.0
27,7.0,[250 251 300 350 453 475 521],[-1  1  4],3.0,0,0.0
28,2.0,[305 540],[-1  1],2.0,0,0.0
29,9.0,[144 145 184 224 291 313 372 377 540],[-1  1],2.0,0,0.0
30,3.0,[185 284 468],[-1 12],2.0,0,0.0
31,2.0,[360 439],[-1  8],2.0,0,0.0
32,2.0,[210 521],[-1  4],2.0,0,0.0
33,2.0,[240 505],[-1  8],2.0,0,0.0
34,11.0,[151 155 157 178 234 237 251 272 280 353 448],[-1  1  5],3.0,0,0.0
35,14.0,[165 167 168 173 192 196 260 268 300 302 306 381 468 502],[-1 12],2.0,0,0.0
36,7.0,[239 287 312 316 324 379 418],[-1  4],2.0,0,0.0
37,3.0,[201 265 378],[-1 13],2.0,0,0.0
38,3.0,[248 374 479],[-1  1],2.0,0,0.0
39,7.0,[198 206 211 264 329 612 657],[-1 13],2.0,0,0.0
40,6.0,[283 321 353 441 453 455],[-1  1],2.0,0,0.0
41,3.0,[182 248 499],[-1  1],2.0,0,0.0
42,2.0,[360 516],[-1  0],2.0,0,0.0
43,11.0,[134 141 201 248 256 258 362 374 378 479 657],[-1  1  5],3.0,0,0.0
44,2.0,[358 507],[-1 13],2.0,0,0.0
45,3.0,[196 209 502],[-1 12],2.0,0,0.0
46,2.0,[178 237],[-1  5],2.0,0,0.0
47,6.0,[200 208 251 360 475 702],[-1  0  1  4],4.0,0,0.0
48,4.0,[305 313 363 540],[-1  4],2.0,0,0.0
49,3.0,[222 302 381],[-1 12],2.0,0,0.0
50,2.0,[139 220],[-1 14],2.0,0,0.0
51,2.0,[207 448],[-1  5],2.0,0,0.0
52,2.0,[250 521],[-1  1],2.0,0,0.0
53,3.0,[127 149 362],[-1  1],2.0,0,0.0
54,2.0,[265 521],[-1  1  8],3.0,0,0.0
55,3.0,[238 444 453],[-1  1],2.0,0,0.0
56,3.0,[190 358 507],[-1 10],2.0,0,0.0
57,6.0,[172 185 235 386 578 615],[-1  1],2.0,0,0.0
58,6.0,[142 207 321 436 441 448],[-1  1  5],3.0,0,0.0
59,6.0,[220 283 321 441 453 455],[-1  1  5],3.0,0,0.0
60,3.0,[127 141 362],[-1  1],2.0,0,0.0
61,6.0,[360 398 416 439 447 516],[-1  0  8],3.0,0,0.0
62,2.0,[305 540],[-1  1  4],3.0,0,0.0
63,2.0,[182 499],[-1 13],2.0,0,0.0
64,7.0,[120 236 274 349 368 428 522],[-1  8],2.0,0,0.0
65,4.0,[185 468 472 502],[-1 12],2.0,0,0.0
66,5.0,[201 257 265 371 378],[-1 13],2.0,0,0.0
67,5.0,[185 284 289 321 326],[-1 12],2.0,0,0.0
68,9.0,[240 241 288 301 305 350 412 510 521],[-1  1  4  8  9],5.0,0,0.0
69,8.0,[185 203 212 332 374 383 386 479],[-1  1],2.0,0,0.0
70,14.0,[186 194 196 215 295 297 322 348 354 410 442 460 502 613],[-1  5  8 12 13],5.0,0,0.0
71,4.0,[186 188 322 348],[-1  8],2.0,0,0.0
72,2.0,[184 592],[-1  1],2.0,0,0.0
73,4.0,[185 374 386 479],[-1  1],2.0,0,0.0
74,4.0,[185 196 502 613],[-1 12],2.0,0,0.0
75,3.0,[212 374 479],[-1  1],2.0,0,0.0
76,5.0,[146 147 219 307 373],[-1 12],2.0,0,0.0
77,2.0,[208 360],[-1  0],2.0,0,0.0
78,2.0,[448 594],[-1  5],2.0,0,0.0
79,2.0,[448 594],[-1  5],2.0,0,0.0
80,3.0,[153 184 230],[-1  1],2.0,0,0.0
81,4.0,[283 286 448 594],[-1  5],2.0,0,0.0
82,2.0,[148 319],[-1  5],2.0,0,0.0
83,3.0,[148 277 319],[-1  5],2.0,0,0.0
84,3.0,[153 230 231],[-1  1],2.0,0,0.0
85,3.0,[119 159 288],[-1  1],2.0,0,0.0
86,4.0,[119 170 261 288],[-1  1],2.0,0,0.0
87,8.0,[148 277 283 286 319 448 580 594],[-1  5],2.0,0,0.0
88,4.0,[174 177 358 507],[-1 13],2.0,0,0.0
89,2.0,[199 285],[-1  1],2.0,0,0.0
90,4.0,[251 360 414 475],[-1  4],2.0,0,0.0
91,2.0,[375 491],[-1  1],2.0,0,0.0
92,8.0,[185 191 196 269 360 414 468 502],[-1  4 12],3.0,0,0.0
93,7.0,[246 295 375 442 459 460 470],[-1  5],2.0,0,0.0
94,14.0,[120 123 194 300 338 375 389 390 392 411 428 433 470 604],[-1  3  5 13],4.0,0,0.0
