id,num_children,distinct_children,distinct_parents,num_parents,is_sample,is_root
0,10.0,[  37   38   84  172  173  176  231  962  971 1014],[-1],1.0,0,0.0
1,78.0,"[  15   17   23   33   35   36   48   50   51   52   59   60   68   74
   75   79   80   84   85   86   87   88   89   90   91   92   96  104
  107  109  117  119  121  122  129  131  137  138  149  152  153  154
  155  157  159  163  164  165  176  177  184  190  194  201  215  217
  218  225  228  230  231  232  238  239  243  246  250  252  269  279
  539  864  908  968  976  981 1140 1209]",[-1],1.0,0,0.0
2,23.0,"[ 16  25  46  49  62  72  77  81  83  84  93  94  97 108 154 159 161 164
 181 233 496 513 539]",[-1],1.0,0,0.0
3,9.0,[  80   89  110  144  157  178  182  184 1138],[-1],1.0,0,0.0
4,10.0,[  81   82   95   97  127  150  739  860  869 1536],[-1],1.0,0,0.0
5,50.0,"[  32   45   47   65   66   76   82   96  103  104  105  111  113  114
  116  117  121  127  128  129  133  134  135  141  142  143  151  159
  165  167  175  177  196  199  217  228  231  236  238  239  240  247
  250  251  352  968  976  983  988 1177]",[-1],1.0,0,0.0
6,31.0,"[  21   22   25   26   28   29   30   31   34   53   54   55   63   73
   90   98   99  100  101  102  115  126  129  153  156  172  174  193
  231  234 2394]",[-1],1.0,0,0.0
7,10.0,[ 56  61  81  95 150 175 202 207 220 739],[-1],1.0,0,0.0
8,15.0,[ 18  43  44  59  64  67  93 159 181 194 208 212 513 727 751],[-1],1.0,0,0.0
9,3.0,[ 80 106 107],[-1],1.0,0,0.0
10,13.0,[ 48  75 128 139 140 159 165 217 225 230 238 239 329],[-1],1.0,0,1.0
11,3.0,[ 153 1365 1414],[-1],1.0,0,0.0
12,35.0,"[  24   27   39   40   41   42   54   69   85   86  119  124  137  138
  149  151  152  153  155  157  184  216  226  231  236  238  239  242
  252  971  992 1022 1138 1356 1424]",[-1],1.0,0,0.0
13,54.0,"[  14   19   20   25   43   51   57   58   59   64   70   71   78   81
   95   97  112  113  114  117  118  121  124  125  133  139  145  146
  148  149  150  159  169  175  176  183  186  194  220  238  239  513
  518  539  710  739  751  778  792  860  869  872 1946 1995]",[-1],1.0,0,0.0
14,2.0,[113 539],[-1 13],2.0,0,0.0
15,7.0,[ 121  195  197  230  250  976 1140],[-1  1],2.0,0,0.0
16,3.0,[125 513 727],[-1  2],2.0,0,0.0
17,2.0,[ 121 1140],[-1  1],2.0,0,0.0
18,4.0,[159 162 513 908],[-1  8],2.0,0,0.0
19,2.0,[220 869],[-1 13],2.0,0,0.0
20,4.0,[114 136 539 792],[-1 13],2.0,0,0.0
21,5.0,[ 153  234 1014 1358 1382],[-1  6],2.0,0,0.0
22,4.0,[115 168 234 879],[-1  6],2.0,0,0.0
23,3.0,[159 162 908],[-1  1],2.0,0,0.0
24,2.0,[ 252 1220],[-1 12],2.0,0,0.0
25,20.0,"[148 152 168 171 179 181 194 208 232 234 237 505 528 548 710 739 744 751
 879 911]",[-1  2  6 13],4.0,0,0.0
26,4.0,[ 193  234 1358 1365],[-1  6],2.0,0,0.0
27,3.0,[ 252 1220 4571],[-1 12],2.0,0,0.0
28,2.0,[234 879],[-1  6],2.0,0,0.0
29,2.0,[ 234 1358],[-1  6],2.0,0,0.0
30,3.0,[ 234 1358 1414],[-1  6],2.0,0,0.0
31,2.0,[ 234 1358],[-1  6],2.0,0,0.0
32,3.0,[ 250  976 1177],[-1  5],2.0,0,0.0
33,2.0,[183 539],[-1  1],2.0,0,0.0
34,3.0,[ 153  971 1382],[-1  6],2.0,0,0.0
35,3.0,[136 183 539],[-1  1],2.0,0,0.0
36,2.0,[ 230 1140],[-1  1],2.0,0,0.0
37,3.0,[ 173 1014 1037],[-1  0],2.0,0,0.0
38,4.0,[ 153  173  962 1014],[-1  0],2.0,0,0.0
39,3.0,[ 119 1157 1356],[-1 12],2.0,0,0.0
40,2.0,[ 119 1356],[-1 12],2.0,0,0.0
41,2.0,[ 252 4571],[-1 12],2.0,0,0.0
42,2.0,[ 119 1022],[-1 12],2.0,0,0.0
43,2.0,[194 751],[-1  8 13],3.0,0,0.0
44,3.0,[159 513 813],[-1  8],2.0,0,0.0
45,4.0,[230 246 831 983],[-1  5],2.0,0,0.0
46,7.0,[120 125 132 496 505 526 730],[-1  2],2.0,0,0.0
47,3.0,[230 983 988],[-1  5],2.0,0,0.0
48,2.0,[159 908],[-1  1 10],3.0,0,0.0
49,3.0,[232 237 744],[-1  2],2.0,0,0.0
50,2.0,[159 908],[-1  1],2.0,0,0.0
51,2.0,[136 539],[-1  1 13],3.0,0,0.0
52,2.0,[250 981],[-1  1],2.0,0,0.0
53,6.0,[126 130 152 231 897 917],[-1  6],2.0,0,0.0
54,3.0,[231 729 897],[-1  6 12],3.0,0,0.0
55,3.0,[231 897 917],[-1  6],2.0,0,0.0
56,2.0,[204 518],[-1  7],2.0,0,0.0
57,2.0,[208 505],[-1 13],2.0,0,0.0
58,6.0,[158 186 194 208 505 751],[-1 13],2.0,0,0.0
59,4.0,[158 159 751 813],[-1  1  8 13],4.0,0,0.0
60,2.0,[250 981],[-1  1],2.0,0,0.0
61,2.0,[204 518],[-1  7],2.0,0,0.0
62,2.0,[179 548],[-1  2],2.0,0,0.0
63,2.0,[152 917],[-1  6],2.0,0,0.0
64,2.0,[232 513],[-1  8 13],3.0,0,0.0
65,3.0,[ 142  236 1108],[-1  5],2.0,0,0.0
66,4.0,[ 236  246  831 1108],[-1  5],2.0,0,0.0
67,3.0,[162 232 513],[-1  8],2.0,0,0.0
68,2.0,[136 539],[-1  1],2.0,0,0.0
69,2.0,[231 729],[-1 12],2.0,0,0.0
70,3.0,[ 149 1104 1138],[-1 13],2.0,0,0.0
71,3.0,[ 149 1102 1104],[-1 13],2.0,0,0.0
72,3.0,[154 179 548],[-1  2],2.0,0,0.0
73,2.0,[234 879],[-1  6],2.0,0,0.0
74,3.0,[ 250  981 1209],[-1  1],2.0,0,0.0
75,7.0,[ 128  230  250 1031 1044 1140 1209],[-1  1 10],3.0,0,0.0
76,2.0,[ 251 1995],[-1  5],2.0,0,0.0
77,2.0,[232 744],[-1  2],2.0,0,0.0
78,2.0,[148 739],[-1 13],2.0,0,0.0
79,2.0,[250 981],[-1  1],2.0,0,0.0
80,3.0,[ 252 2409 2427],[-1  1  3  9],4.0,0,0.0
81,12.0,[127 148 161 202 548 727 728 739 800 860 869 872],[-1  2  4  7 13],5.0,0,0.0
82,4.0,[ 127  167  860 1995],[-1  4  5],3.0,0,0.0
83,3.0,[132 496 730],[-1  2],2.0,0,0.0
84,5.0,[154 161 192 548 734],[-1  0  1  2],4.0,0,0.0
85,3.0,[ 252 1220 1238],[-1  1 12],3.0,0,0.0
86,4.0,[ 139  155  252 4571],[-1  1 12],3.0,0,0.0
87,2.0,[ 252 4571],[-1  1],2.0,0,0.0
88,2.0,[250 976],[-1  1],2.0,0,0.0
89,2.0,[ 252 2427],[-1  1  3],3.0,0,0.0
90,5.0,[ 252  824  866 2427 4571],[-1  1  6],3.0,0,0.0
91,2.0,[250 981],[-1  1],2.0,0,0.0
92,4.0,[228 241 250 981],[-1  1],2.0,0,0.0
93,3.0,[125 161 727],[-1  2  8],3.0,0,0.0
94,2.0,[132 730],[-1  2],2.0,0,0.0
95,7.0,[147 202 204 206 207 496 518],[-1  4  7 13],4.0,0,0.0
96,2.0,[228 981],[-1  1  5],3.0,0,0.0
97,3.0,[132 202 496],[-1  2  4 13],4.0,0,0.0
98,2.0,[ 153 1382],[-1  6],2.0,0,0.0
99,2.0,[115 879],[-1  6],2.0,0,0.0
100,6.0,[ 193  234 1358 1365 1414 1626],[-1  6],2.0,0,0.0
101,3.0,[ 234 1358 1414],[-1  6],2.0,0,0.0
102,2.0,[ 153 1382],[-1  6],2.0,0,0.0
103,5.0,[116 123 175 739 778],[-1  5],2.0,0,0.0
104,6.0,[128 131 135 199 241 968],[-1  1  5],3.0,0,0.0
105,3.0,[199 968 976],[-1  5],2.0,0,0.0
106,4.0,[ 252  267  270 2409],[-1  9],2.0,0,0.0
107,4.0,[ 252  267 1849 2409],[-1  1  9],3.0,0,0.0
108,3.0,[154 208 548],[-1  2],2.0,0,0.0
109,4.0,[ 252  824 1849 4571],[-1  1],2.0,0,0.0
110,2.0,[ 252 2409],[-1  3],2.0,0,0.0
111,3.0,[ 251  714 1804],[-1  5],2.0,0,0.0
